facility_id,facility_name,facility_type,region_clean,latitude,longitude,capacity,licence_issue_date_clean,inspection_date_clean,remarks
NAN,"Little, Wilkerson and Mathews Polyclinic (St.Michael)©",Clinic🌡️,St.Michael,,,,,2019-04-07,-
HF-5755,"Vazquez, White and Zavala (St.Andrew)",CHC,St.Andrew,,,,,2025-02-05, 
5756,Jackson Group Polyclinic,Clinic🌡️,St. George,12.778333333333334,-58.87444444444444,191.0,2025-06-15,2018-03-03,Needs upgrade
NAN,"Turner, Norris and Stevens Clinic (St.)",Polyclinic,St. Andrew,,,,2022-07-22,,♥
64185F,Whitney-Patton Infirmary (St),Health Centre,St George,12.950555555555555,-58.96944444444445,96.0,,2022-01-14,♥
05759,"Logan, Moreno and Green Medical Center (ST.)",Polyclinic,St. Joseph,,,36.0,2022-07-17,2018-05-22,Needs upgrade
NAN,"Black, Rivera and Lam Medical Center",Health Centre,St. Joseph,12.78679,-59.26929,475.0,,,
NAN,"Black, Rivera and Lam Medical Center",Health Centre,St. Joseph,12.78679,-59.26929,475.0,,,
NAN,Gonzales-Ramirez,Hosp.,St. John,12.995555555555555,-58.92638888888889,372.0,,2023-07-08,Reinspection due
HF-5762,Brooks PLC (St),,St Joseph,13.031944444444445,-58.89055555555556,453.0,2019-04-27,,Reinspection due
NAN,Pruitt-Martin Infirmary,Community Health Ctr.,Christ Church,12.76411,-58.84639,,2024-02-13,,
NAN,Garcia Group Hospital (St.Peter),Health Ctr.,St.Peter,,,,2018-04-17,,Follow-up 2023
BA2C25,"Hernandez,-Long-and-Oconnell (ST.)",Clinic🌡️,St. Lucy,13.03198,-59.28314,,,,♥
5766,Calhoun-Sandoval Polyclinic (st.),Community Health Ctr.,St. Lucy,,,,2023-11-04,2018-03-19,Reinspection due
5767,Bradley PLC Hospital (St.),CHC,St. Andrew,12.720555555555556,-59.00611111111111,387.0,2025-09-05,,Good
5767,Bradley PLC Hosp. (St.),CHC,St. Andrew,12.720555555555556,-59.00611111111111,387.0,2025-09-05,,Good
05768,Riley Inc (st.),CHC,St. John,,,,,2024-09-02, 
F67B29,Lin and Sons Infirmary (St.),Hosp.,St. Peter,,,395.0,2024-03-05,2025-06-03,Follow-up 2023
HF-5770,"Sanchez, Allen and Craig",Community Health Ctr.,St. Lucy,13.26258,-59.2883,497.0,2020-07-31,,-
6342A3,Martin-Johnson,Hosp.,St. Lucy,-58.73801,13.09177,230.0,2022-08-18,2021-06-06,Good
05772,"Rubio, Campbell and Mercado✨",,St. Joseph,,,482.0,,2024-04-22,Follow-up 2023
87FAEC,Gonzales and Sons Hosp.,Hosp.,St.John,,,9.0,2018-11-16,,Follow-up 2023
#5774,"Oneal, Franco and Tucker Hospital (ChristChurch)",Polyclinic 🏥,Christchurch,,,,2019-02-07,2020-03-30, 
5775,Williams Inc Medical Center,,St. James,13.10501,-58.7566,,2019-10-18,2023-01-05, 
37C4EB,"Hall, Ross and Sanchez Polyclinic",Clinic,St.Andrew,,,67.0,,2025-12-22,
05777,May-Williams Hospital,Clinic,St. Michael,12.79936,-58.836,495.0,,2020-07-18,
#5778,Martinez-Cortez,,St. John,,,,2024-04-29,2022-11-09,Needs upgrade
HF-5779,Gomez-Ltd Hosp.,Community Health Ctr.,St. James,-58.99735,12.8745,383.0,,2019-11-13,Reinspection due
NAN,"Fuller,-Spence-and-Brown Hosp.",Health Centre,St. Andrew,-59.1081,12.9351,316.0,2022-01-25,2025-06-19,
NAN,French-Thompson Infirmary (ST.),Health Centre,St. Michael,12.85565,-59.17955,,2025-09-08,2018-07-25,
#5782,"Mccarthy, Murphy and Cohen Hospital (St)",Hospital,St Michael,12.78051,-58.89139,397.0,2017-01-28,2024-11-05,Good
#5783,"Stone, Bartlett and Sullivan Infirmary (St.Michael)",Hosp.,St.Michael,,,,2017-12-01,2021-10-04,Reinspection due
0DACEA,Avila-Jones Hospital (CHRIST),Hospital,Christ Church,-59.21736,13.28658,156.0,2017-04-19,2020-05-31,-
05785,Holt Group Polyclinic,,St. John,13.0395,-58.84684,459.0,2017-04-09,2018-07-05,Follow-up 2023
NAN,Silva-Zhang Clinic (St.John),Hospital,St.John,,,491.0,2020-10-31,2023-10-02,Good
NAN,Bell-Soto Health Centre (St.),Community Health Centre,St. Lucy,13.01921,-58.95084,116.0,2025-08-09,2024-04-29, 
#5788,Stewart-Rivera Hosp.,Health Ctr.,Christ Church,,,369.0,,2025-02-13,-
5789,Wyatt Ltd Hosp.,Polyclinic,St. George,,,202.0,,,
NAN,Delacruz-Cooper Hosp.✨,Hospital,St.Peter,,,131.0,2020-03-01,2021-05-29,Follow-up 2023
05791,Lopez-Inc Clinic,Hospital,St. Joseph,12.79173,-58.84786,328.0,,2019-12-31,Good
5792,Wright-Davis 🏥 (St.),,St. Peter,-59.29738,12.80729,25.0,2021-08-08,,-
5792,Wright-Davis 🏥 (St.),,St. Peter,-59.29738,12.80729,25.0,2021-08-08,,-
HF-5793,"Lopez, Walker and Wright Hospital (ST.)",Hospital,St. Joseph,13.258888888888889,-59.29111111111111,417.0,2020-06-18,2022-09-08,Good
5794,Smith-Anderson,Health Ctr.,Christ Church,,,,2023-11-06,2024-09-25,
NAN,Lin and Sons Hosp.,CHC,Christ Church,13.20611,-58.83861,,,2022-02-23,Needs upgrade
05796,Walsh Inc Infirmary,CHC,St. Andrew,-58.85124,12.84288,,2022-01-08,2021-03-25,
05797,"Ballard, Salinas and Sanders Hospital",Community Health Ctr.,St. John,13.10633,-59.00904,119.0,2023-01-03,2021-06-05,Follow-up 2023
05797,"Ballard, Salinas and Sanders Hosp.",Community Health Ctr.,St. John,13.10633,-59.00904,119.0,2023-01-03,2021-06-05,Follow-up 2023
NAN,Mcknight-PLC (ST.),Hospital,St. Lucy,-59.08376,12.99308,,2022-08-26,2019-11-09,Good
HF-5799,Ford Group 🏥,CHC,St. Lucy,,,,,,
HF-5799,Ford Group 🏥,CHC,St. Lucy,,,,,,
5800,"Jacobs,-Lopez-and-Alexander Health Centre",Health Ctr.,St. Lucy,13.261666666666667,-58.81861111111112,,2025-11-05,2018-08-28,Follow-up 2023
A58431,Bennett-LLC Hospital✨,Hospital,St.Joseph,,,317.0,2024-08-05,2018-08-27,Good
5802,Gutierrez-Collins Hospital,Hosp.,Christchurch,,,43.0,,2023-09-02,-
5802,Gutierrez-Collins Hosp.,Hosp.,Christchurch,,,43.0,,2023-09-02,-
05803,Oliver LLC Infirmary,Hosp.,St. Joseph,,,,,,Follow-up 2023
5804,Brown-Willis Infirmary (St),Polyclinic,St Andrew,-59.01607,12.75045,79.0,,2023-07-06,-
05805,Smith-LLC 🏥,Health Centre,St.Andrew,12.89519,-59.19654,,2021-01-04,2018-01-08,♥
9A7EC2,Pratt and Sons Clinic,Community Health Ctr.,St. Lucy,,,17.0,2022-06-11,,Good
NAN,Martin-Andrews (St.Peter),Clinic,St.Peter,13.04951,-58.86212,301.0,,2024-05-08,
HF-5808,Chavez Ltd (St),Polyclinic,St Lucy,13.09388888888889,-59.21222222222222,,,,-
F78B60,Young Ltd Health Centre,Health Centre,St. Joseph,12.766666666666667,-59.25611111111111,158.0,2018-06-04,2020-10-16,
HF-5810,"Garcia, Patel and Meza Infirmary (St.James)",,St.James,12.71818,-59.00952,109.0,,2024-02-29,Needs upgrade
HF-5810,"Garcia, Patel and Meza Infirmary (St.James)",,St.James,12.71818,-59.00952,109.0,,2024-02-29,Needs upgrade
05811,Warren-Group Health Centre (St.),Clinic🌡️,St. Andrew,13.095833333333333,-58.78388888888889,,,2022-07-02,
#5812,Hall-Edwards,Health Ctr.,St. Joseph,12.77025,-59.02903,,,2023-04-06, 
5813,"Moore, Mullins and Powell 🏥 (St.)",Polyclinic,St. Lucy,12.81265,-58.9116,,2024-01-27,2020-09-04,Reinspection due
HF-5814,"Shelton,-Murphy-and-Wood Hospital (leahciM)",Clinic🌡️,St. Michael,12.99718,-59.16833,446.0,2018-07-02,,Needs upgrade
#5815,Wolf-Barrera Hospital,Hospital,St. Lucy,12.89762,-59.26522,,2025-04-24,2024-09-24,Needs upgrade
5816,"Wade, Jones and Clark (ST.)",Health Ctr.,St. James,13.04251,-58.99594,,2016-10-07,2022-09-16,Reinspection due
NAN,Ballard-May Polyclinic,Community Health Ctr.,St. James,13.27101,-58.78387,,2021-12-03,2024-05-03,Reinspection due
5818,"Sullivan, Barnett and Barnes Infirmary",Community Health Centre,St.James,-59.09164,12.87485,32.0,2023-09-14,2018-06-30,Reinspection due
B30A87,"Shields, Sexton and Perez Hospital",CHC,St. Andrew,,,261.0,2022-05-13,, 
8F3F61,Garcia-Reynolds Infirmary,Clinic,St Andrew,13.208333333333332,-59.05777777777777,,2022-07-26,2025-03-13,
#5821,"Murphy, Nguyen and Gonzalez Hosp.",Health Ctr.,St. Andrew,12.99515,-59.06837,,2024-04-24,,Needs upgrade
#5822,Anderson-French Infirmary,CHC,St. John,12.77638888888889,-58.75194444444445,,,2022-10-14, 
5823,"Rogers, Green and Rivas 🏥 (St.)",Community Health Ctr.,St. George,13.05966,-59.24318,108.0,2016-08-13,2021-02-24, 
5823,"Rogers, Green and Rivas 🏥 (St.)",Community Health Ctr.,St. George,13.05966,-59.24318,108.0,2016-08-13,2021-02-24, 
NAN,"Davenport, Dalton and Freeman",Health Centre,St.Joseph,,,244.0,2022-05-18,2024-05-19,♥
5825,Lopez Ltd Clinic,Polyclinic 🏥,St. Peter,12.83287,-59.09739,189.0,,2018-11-01,Good
HF-5826,Walker-Woodard 🏥,Hospital,St.Andrew,,,359.0,,,
NAN,Cooper Inc Hospital,Polyclinic 🏥,St. Peter,13.09835,-58.75943,299.0,2023-05-11,2024-01-31,
9DE55C,Jordan-Ltd Hospital (st.),Community Health Centre,St. George,12.75895,-59.05869,179.0,2025-04-23,, 
9DE55C,Jordan-Ltd Hosp. (st.),Community Health Centre,St. George,12.75895,-59.05869,179.0,2025-04-23,, 
NAN,Vaughan-Velasquez,Community Health Centre,St.Michael,12.937222222222223,-58.98361111111111,42.0,,2025-03-24,Needs upgrade
5830,Wilson-PLC,Polyclinic,St. George,13.03662,-59.27355,244.0,2020-03-15,2023-05-23,
#5831,"Keller,-Barrett-and-Rose Clinic💊",Health Ctr.,St. Lucy,13.12243,-58.89858,322.0,2016-04-21,2024-09-07,
#5832,Dalton PLC 🏥 (St.),,St. Michael,12.93131,-58.99259,,2021-08-13,2021-12-10,
HF-5833,"Smith, Cunningham and Foster Medical Center",Polyclinic,St. Peter,13.23307,-58.87656,140.0,2016-12-11,2020-07-12,-
NAN,Martinez-Oneal Clinic (St.),Polyclinic 🏥,St. Joseph,13.10681,-58.95791,283.0,2018-08-30,,
NAN,"Moreno, Huang and Murphy 🏥",Hosp.,Nhoj .Ts,12.73382,-59.09079,335.0,,2021-04-27,Follow-up 2023
NAN,"Smith, Hayes and Cook Medical Center",Clinic🌡️,St. James,13.14637,-58.7828,244.0,2023-06-06,2020-11-26,Reinspection due
#5837,"Allen, Johnson and Dominguez Clinic",Community Health Centre,St. James,-59.22286,13.19662,209.0,2023-11-17,,
HF-5838,Wilkins-Torres (st.),Health Ctr.,St. George,13.02298,-59.21695,219.0,2020-06-17,2024-11-21,Reinspection due
5839,Austin-Martin,Clinic,St. Lucy,,,459.0,2017-02-22,2024-05-17, 
24B688,"Hodge, Burns and Knight Clinic (hcruhC)",Community Health Centre,Christ Church,-58.87059,12.90711,,2017-01-30,2019-01-25,Good
#5841,Wilson-Williams 🏥 (Christ),Health Centre,Christ Church,,,491.0,,,Good
NAN,"Campbell, Williams and Allen Hospital",Polyclinic,Christ Church,12.7441,-58.9153,260.0,2024-03-24,,Needs upgrade
NAN,"Coleman, Hawkins and Howard Hosp. (St.)",Hospital,St. Andrew,12.7746,-58.99671,413.0,2019-05-22,,Reinspection due
NAN,"Coleman, Hawkins and Howard Hosp. (St.)",Hospital,St. Andrew,12.7746,-58.99671,413.0,2019-05-22,,Reinspection due
05844,Wilson-Gomez Hosp.,Clinic,Nhoj .Ts,,,13.0,2020-07-14,2022-07-04, 
05845,Taylor-Kirby,Clinic🌡️,St. Joseph,13.07238,-58.80601,,2019-08-04,2018-09-29,Reinspection due
NAN,"Wood, Vasquez and Foster 🏥",,St. Lucy,12.710555555555555,-59.00555555555555,91.0,,2020-12-06,Needs upgrade
NAN,English Inc Polyclinic (leahciM),Polyclinic,St. Michael,,,,,,Reinspection due
05848,Barron Ltd Polyclinic (St.James),Community Health Ctr.,St.James,-59.24981,12.90071,,,,Good
NAN,"Knight-Group
NewLine",Health Centre,St.John,12.866666666666667,-59.02361111111111,,2023-08-09,2021-08-20,
05850,"Becker, Payne and Garza Hospital (st.)✨",CHC,St. Michael,,,484.0,,,Needs upgrade
NAN,"Marshall, Washington and Nguyen",Community Health Centre,Christ Church,12.92361111111111,-58.93527777777778,117.0,,,
HF-5852,Martinez Ltd 🏥💊,CHC,St. John,13.00198,-59.04587,,,2022-05-15,Reinspection due
HF-5853,"Blankenship, Graham and White Polyclinic",,St. John,12.830277777777777,-58.918055555555554,289.0,2024-04-20,,Good
5854,Cruz Group Hosp. (egroeG),Community Health Ctr.,St. George,13.196388888888889,-59.23916666666667,,2020-12-14,,Reinspection due
HF-5855,Noble Group,Health Ctr.,St. George,12.88535,-59.02559,11.0,2025-11-28,2021-03-01,
#5856,Giles Ltd Clinic (ST.)©,Polyclinic,St. Joseph,,,420.0,,2019-06-01,Needs upgrade
#5856,Giles Ltd Clin. (ST.)©,Polyclinic,St. Joseph,,,420.0,,2019-06-01,Needs upgrade
#5857,Moreno-Gallagher Clinic (nhoJ),Polyclinic 🏥,Nhoj .Ts,,,,,2025-04-27,Reinspection due
05858,Lee-Jennings,,St.James,,,56.0,,2019-02-12,
BB8697,"Murphy, Jackson and Molina Hospital",CHC,St.Peter,13.09641,-59.10017,382.0,2016-01-21,2023-04-22, 
NAN,Farley Ltd (St.),Polyclinic,St. George,12.70361111111111,-59.29722222222222,,2023-07-27,,Needs upgrade
#5861,Moore LLC 🏥,CHC,St. Joseph,12.7735,-58.97596,424.0,,2025-05-21,
#5861,Moore LLC 🏥,CHC,St. Joseph,12.7735,-58.97596,424.0,,2025-05-21,
5862,"Austin,-Perez-and-Vaughn Infirmary",,St. Joseph,,,263.0,,2020-10-12,Needs upgrade
#5863,Murphy-Ford Hosp.,Hosp.,St.James,,,,2021-08-26,,
HF-5864,Sweeney-Smith Hospital,Health Centre,St. Peter,-58.86782,12.96528,,2018-07-18,,Good
HF-5864,Sweeney-Smith Hosp.,Health Centre,St. Peter,-58.86782,12.96528,,2018-07-18,,Good
05865,"Johnson-Dawson Infirmary (St.)
NewLine",Polyclinic,St. Peter,13.11592,-58.83581,183.0,,2018-10-31,♥
NAN,Johnson-Keith Health Centre,Community Health Centre,St. Michael,-58.88443,13.23213,369.0,,2025-07-28,Reinspection due
NAN,Rodriguez Ltd Polyclinic (St),Community Health Ctr.,St James,,,89.0,,2019-12-04,
NAN,Thompson-Elliott,CHC,St. James,,,293.0,2017-12-30,2022-06-07,Follow-up 2023
NAN,"Anderson, Mccoy and Charles 🏥",CHC,Christ Church,-58.88255,13.00591,301.0,2016-09-21,2024-08-10,
NAN,"Anderson, Mccoy and Charles 🏥",CHC,Christ Church,-58.88255,13.00591,301.0,2016-09-21,2024-08-10,
05870,"Harvey, Adams and Baker Polyclinic",Health Centre,St. James,12.85122,-58.73474,27.0,2021-07-20,2022-03-28,
NAN,Ramirez and Sons (St.),Clinic🌡️,St. George,,,,2024-07-20,,
#5872,Wu-Cook,Community Health Ctr.,St. Joseph,13.144444444444444,-58.97944444444445,248.0,2023-01-02,2025-08-08,-
5872,Wu-Cook,Community Health Ctr.,St. Joseph,13.144444444444444,-58.97944444444445,248.0,2023-01-02,2025-08-08,-
440256,Allen-Campos Medical Center,Polyclinic,St.John,12.71191,-59.2228,68.0,2024-07-16,2020-10-02,
34CFCA,Williams Ltd Hosp.,Hospital,St. Joseph,,,406.0,2024-04-03,2020-04-23,Needs upgrade
HF-5875,"Gates, Mcdonald and Wagner Hospital (st.)",Health Centre,St. James,,,320.0,,2024-04-23,Follow-up 2023
HF-5876,Allen PLC Clinic,Community Health Ctr.,St. Joseph,12.70139,-58.97649,486.0,,2023-11-23,
05877,"Ewing, Davidson and Haley (st.)",Community Health Ctr.,St. Peter,,,376.0,,2022-02-02,-
5878,Robinson Inc,Community Health Ctr.,St. Andrew,,,,,2019-11-16,Reinspection due
NAN,"Jones, Bryant and Lyons Infirmary",Polyclinic,Christ Church,13.03091,-58.73574,,2021-07-18,2024-07-20,
NAN,"Davis, Mitchell and Davis Infirmary",Health Centre,St.James,-58.73414,13.17478,,,,♥
NAN,Harmon-Vaughan Hospital,CHC,Christ Church,,,261.0,2017-01-06,2021-12-24,
NAN,Nelson PLC 🏥 (St.),Community Health Ctr.,St. John,13.205833333333333,-59.269444444444446,127.0,2018-02-20,,-
HF-5883,Fuller-Wilcox Hosp.💊,,St. George,12.96971,-59.00873,301.0,,2024-11-03,-
15D4F9,"Nelson, Rodriguez and Kelley 🏥",,St. Michael,12.805000000000001,-58.72972222222222,171.0,,2019-12-21,Follow-up 2023
05885,Curtis Group Health Centre (St.),Clinic,St. John,,,422.0,2018-01-22,,
5886,Clark-Hill Clinic,Polyclinic 🏥,Nhoj .Ts,,,333.0,2023-07-17,2022-11-15,-
5887,"Wilson, Wyatt and Peterson",Community Health Ctr.,St.George,,,92.0,2024-06-30,,Follow-up 2023
HF-5888,"Johnson,-Price-and-Martinez 🏥 (ST.)",Community Health Ctr.,St. John,13.23608,-58.88134,,2023-05-27,,
HF-5889,"Woods, Cox and Potter 🏥 (St)",,St Andrew,,,493.0,,, 
NAN,Riddle Inc Clinic (St.),Health Centre,St. Peter,13.03949,-59.22168,,2018-07-24,,
NAN,Riddle Inc Clin. (St.),Health Centre,St. Peter,13.03949,-59.22168,,2018-07-24,,
05891,Robinson Ltd Hosp. (St.),Clinic,St. Michael,12.9341,-59.19584,48.0,2022-11-15,2018-05-10,-
HF-5892,Johnson-Eaton,Hospital,St. Peter,12.92844,-58.99942,113.0,2021-01-01,2023-03-18,Follow-up 2023
HF-5893,Solomon-Nguyen Hospital (st.),Health Ctr.,St. Peter,13.21358,-58.70882,22.0,,,♥
#5894,"Coleman, Adams and Gibson Polyclinic (St.Joseph)
NewLine",,St.Joseph,-58.79974,13.19065,4.0,,2021-03-16,Reinspection due
NAN,"Welch, Moran and Wang Clinic (St.)",,St. Lucy,-59.03974,13.26509,496.0,2022-12-27,2019-04-22,Follow-up 2023
#5896,"Ho, Johnson and Fischer Infirmary (St)",Clinic🌡️,St Andrew,,,,,, 
HF-5897,"Chavez, Gomez and Daniels Health Centre (St.)",Polyclinic 🏥,St. Joseph,,,,2016-12-14,,Reinspection due
#5898,Reese Inc Hosp.,,St. Michael,12.7462,-58.83026,,2018-07-01,2021-10-19,
5899,"Joseph, Carter and White 🏥 (st.)",,St. Joseph,13.27008,-58.96836,,2023-12-27,2018-09-16,♥
5900,Turner-Jackson Hosp.,Clinic🌡️,St. Lucy,,,155.0,,,
NAN,Barnett Inc Infirmary (St),Clinic🌡️,St Lucy,-59.22326,13.24783,,,2022-02-02,
NAN,Barnett Inc Infirmary (St),Clinic🌡️,St Lucy,-59.22326,13.24783,,,2022-02-02,
05902,Young and Sons Medical Center (St),Hosp.,St Joseph,13.04343,-59.13713,51.0,,,♥
656689,"Singh, Martin and Carlson
NewLine",Health Ctr.,St John,,,,,2020-05-24,-
5904,Lin-Anderson Medical Center (St.),Health Ctr.,St. James,,,,2018-06-28,,
05905,"Gonzalez, Martinez and Adams",,St. Michael,-58.87056,13.13309,409.0,2023-03-12,,♥
05906,"Flores,-Downs-and-Walters Hosp.",Hosp.,St. Joseph,,,176.0,2022-09-07,2019-04-10,Good
5907,Perez Ltd Medical Center,Health Ctr.,St Lucy,-58.81303,13.14672,,,2019-11-07,♥
5907,Perez Ltd Medical Center,Health Ctr.,St Lucy,-58.81303,13.14672,,,2019-11-07,♥
05908,Villanueva LLC Hospital,Community Health Centre,St. Lucy,,,106.0,,2024-10-28,Follow-up 2023
#5909,Everett Inc Hospital (St.),Community Health Centre,St. John,,,98.0,2024-05-04,2022-08-19,Good
HF-5910,"Crawford, Allen and Smith (st.)",Hospital,St. Peter,13.22305,-58.97599,205.0,2021-01-09,2025-01-24,♥
05911,"Prince, Thomas and Ponce Hosp.",,St. George,-59.11646,12.74894,383.0,2017-11-18,,
FBAE13,"Anderson,-Bailey-and-Chavez Medical Center",Community Health Ctr.,St. James,,,,2018-11-22,2018-12-23,Reinspection due
HF-5913,Chambers-Garrett Health Centre (St.),Health Ctr.,St. Lucy,12.99354,-58.71852,,2024-11-19,,Reinspection due
NAN,"Gibbs, Graham and Glover Hosp. (St.)",Community Health Ctr.,St. John,-58.78698,12.92243,159.0,2016-11-12,2022-12-14,♥
#5915,"Ford,-Campbell-and-Williams (St.John)",Clinic🌡️,St.John,-58.90102,13.15027,289.0,2021-07-25,,Good
5915,"Ford,-Campbell-and-Williams (St.John)",Clinic🌡️,St.John,-58.90102,13.15027,289.0,2021-07-25,,Good
HF-5916,Peterson-Olson Medical Center (semaJ),Hospital,St. James,12.921388888888888,-59.26361111111111,,2024-02-24,,-
5917,"Hudson, Padilla and Green 🏥 (St.)",CHC,St. Andrew,,,444.0,2024-05-02,2022-05-24,♥
5918,Smith-Fry Polyclinic,Hospital,Nhoj .Ts,13.00268,-58.96314,,2025-05-04,2024-11-04,♥
HF-5919,"Gray, Campbell and Ramirez Polyclinic (St.)
NewLine",Health Ctr.,St. Peter,13.146944444444443,-58.753055555555555,,,2021-04-21,-
HF-5920,Crawford-and-Sons,CHC,St. George,,,,,2019-10-30,-
05921,Burch Group (hcruhC),Hosp.,Christ Church,13.05974,-59.14967,389.0,2023-01-04,2019-05-31,
NAN,Butler-Mercado Hospital (st.),,St. Peter,-58.92889,12.88828,,,2018-01-31,Reinspection due
NAN,Wright and Sons Hosp.,Clinic🌡️,St. John,13.19045,-58.70511,495.0,,2022-04-28, 
690491,"Martinez,-Savage-and-Evans Hosp. (ST.)",Polyclinic,St. John,12.76142,-58.80884,135.0,,,Reinspection due
5925,Douglas-Davis,Clinic🌡️,St Joseph,13.163611111111111,-58.779444444444444,,2025-01-25,2024-05-11,Good
5925,Douglas-Davis,Clinic🌡️,St Joseph,13.163611111111111,-58.779444444444444,,2025-01-25,2024-05-11,Good
NAN,Small LLC Hospital✨,Community Health Centre,St. John,,,218.0,2021-06-19,2019-07-01,Follow-up 2023
5927,"Jones, Maynard and Cole Health Centre",Community Health Centre,Nhoj .Ts,,,,2025-06-23,2021-02-11,
5928,Arnold-Bailey Polyclinic,,St. George,,,,2025-11-22,2025-11-05,♥
NAN,Howell Inc (Christ),Clinic,Christ Church,,,123.0,2020-12-23,,♥
NAN,Kelley LLC Infirmary (St.Lucy),Polyclinic,St.Lucy,,,228.0,2022-12-04,2024-06-22,Good
#5931,Howard-Sanchez Infirmary,Health Centre,St. Joseph,12.715555555555556,-58.75277777777778,171.0,,2020-11-11,
F226F3,Davenport-Hester Hosp. (St.),Hospital,St. Peter,,,468.0,,2023-05-28,Needs upgrade
05933,Bright-PLC 🏥,Hosp.,Christchurch,-59.28883,12.76296,,,2018-06-21,Good
NAN,"King,-Norris-and-Pitts Hosp.",Community Health Centre,St. John,13.09441,-58.7077,,2025-01-09,,Good
NAN,"Kim, Miller and Kirby (christ)",Hospital,Christ Church,,,,,2020-01-26,Follow-up 2023
NAN,"Kim, Miller and Kirby (christ)",Hospital,Christ Church,,,,,2020-01-26,Follow-up 2023
NAN,"Gonzalez,-Davis-and-Armstrong Medical Center (ST.)💊",Community Health Centre,St. Andrew,13.15134,-58.94653,,,2021-05-06,Follow-up 2023
5937,"Greer, Tyler and Brown Infirmary (st.)",Community Health Centre,St. John,-58.75852,12.86829,,,2022-09-19,
#5938,Hooper LLC Polyclinic,Health Centre,St. John,13.00153,-58.92271,397.0,2018-04-14,2021-04-17,
5939,Rodriguez-Perkins Hospital (st.),Clinic🌡️,St. Lucy,13.02992,-59.28927,325.0,2020-02-21,,-
5940,Bennett Inc (St.),Clinic🌡️,St. George,12.994166666666667,-58.84638888888889,182.0,,2024-05-04,♥
NAN,"Harper, Lopez and Molina Hosp.",Community Health Ctr.,St.John,12.91282,-59.16329,455.0,,2025-08-08,Reinspection due
HF-5942,King and Sons Infirmary,Polyclinic 🏥,St. George,,,361.0,2018-03-29,2024-11-26,Needs upgrade
D7468D,Rios-Hernandez Infirmary (ycuL),CHC,St. Lucy,13.099722222222223,-59.034166666666664,362.0,2016-01-31,2023-10-29,Reinspection due
#5944,Mercado-Larsen (St.),Clinic🌡️,St. Andrew,-59.12166,13.0901,,2024-09-13,2018-03-17,-
5E124B,Cooper-Inc Hosp. (St.),Hosp.,St. James,12.983055555555556,-59.02194444444444,24.0,2018-05-02,2021-12-06,Reinspection due
5E124B,Cooper-Inc Hosp. (St.),Hosp.,St. James,12.983055555555556,-59.02194444444444,24.0,2018-05-02,2021-12-06,Reinspection due
NAN,Kaufman LLC 🏥 (St.James),Community Health Centre,St.James,13.15055,-58.7603,269.0,2017-09-02,2020-06-01,
7940B4,Combs Ltd Hospital (St.),Community Health Centre,St. Lucy,-58.84801,13.10539,,,2023-01-26,
7940B4,Combs Ltd Hospital (St.),Community Health Centre,St. Lucy,-58.84801,13.10539,,,2023-01-26,
HF-5948,Morris Group Health Centre (St.Lucy),Polyclinic,St.Lucy,12.75474,-58.7865,,,,Reinspection due
NAN,Hoffman-LLC Health Centre,Polyclinic 🏥,St. Lucy,,,,,2024-04-16,Needs upgrade
HF-5950,Patel Inc Infirmary©,Community Health Ctr.,St. James,12.822222222222223,-58.86833333333333,42.0,,2023-12-19, 
5951,"Lane, Bryant and Flores Hospital",,St. Peter,-59.0623,12.94988,236.0,,2024-05-21,Reinspection due
5951,"Lane, Bryant and Flores Hosp.",,St. Peter,-59.0623,12.94988,236.0,,2024-05-21,Reinspection due
5952,"Collins, Gutierrez and Stewart Polyclinic (St.Michael)",Hospital,St.Michael,,,83.0,2019-08-19,,Follow-up 2023
5953,"Dixon, Jackson and Wilcox (ST.)✨",Community Health Centre,St. Joseph,-58.78624,12.79937,445.0,,2019-05-30,-
#5954,Davis-Martin Infirmary,Community Health Ctr.,Christ Church,,,53.0,,,♥
NAN,Barnes Group Health Centre (St.Joseph),Clinic🌡️,St.Joseph,,,433.0,,,
#5956,"Hansen, Mendez and Rogers 🏥",Health Ctr.,St. Peter,13.22159,-58.70727,371.0,,2020-07-05,Reinspection due
NAN,Hunt Ltd Hosp.,Health Centre,St.Michael,13.09364,-58.83243,235.0,,2022-03-18, 
NAN,Hunt Ltd Hosp.,Health Centre,St.Michael,13.09364,-58.83243,235.0,,2022-03-18, 
HF-5958,"Haynes, Flores and Nichols (St.Peter)",Community Health Ctr.,St.Peter,12.95289,-58.79179,,2025-11-01,,
NAN,Morris PLC Polyclinic (St.),Community Health Ctr.,St. George,-59.19643,13.08455,404.0,2016-06-11,2018-02-18,Needs upgrade
5960,"Thomas, Curtis and Henson Hospital (St)",Community Health Ctr.,St Lucy,13.104444444444445,-58.98583333333333,297.0,2023-04-08,2018-01-14,Good
05961,Fuentes-Howard©,Hospital,St.Andrew,,,363.0,,2021-02-03,
HF-5962,"Proctor,-Brown-and-Schmidt",Polyclinic 🏥,Christ Church,,,242.0,2022-03-07,,Good
NAN,Brown-Green Health Centre,Community Health Centre,St. Andrew,,,336.0,,2025-03-23,Needs upgrade
NAN,"Morris, Orozco and Webster (reteP)",Hospital,St. Peter,12.91631,-59.12411,311.0,2025-10-13,2022-10-16,-
HF-5965,"Wilson, Estrada and Ramirez Health Centre",Clinic🌡️,St. James,13.01261,-58.78498,,,2024-08-28,
